lecture_id	lecture_title	term	definition	match_reason	common_distractor
03	Geometric Transformations	translation	A transformation that moves points by an offset; direction vectors are not shifted the same way.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
03	Geometric Transformations	rotation	A transformation that changes orientation while preserving distances.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
03	Geometric Transformations	scaling	A transformation that changes size and can distort normals if handled incorrectly.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
03	Geometric Transformations	matrix composition	Combining transformations by multiplication, where order matters.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
03	Geometric Transformations	normal transformation	Transforming surface normals consistently, often requiring inverse-transpose logic under non-uniform scaling.	Belongs to the chain: object/model coordinates -> model matrix -> world coordinates -> view matrix -> camera/view coordinates	Do not multiply matrices without naming source space, target space, and order.
04	Geometric Projection	view volume	The 3D region visible to the camera before mapping to the screen.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
04	Geometric Projection	orthographic projection	Projection without perspective foreshortening; parallel lines stay parallel.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
04	Geometric Projection	perspective projection	Projection where farther objects appear smaller after division by the homogeneous component.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
04	Geometric Projection	clip coordinates	Coordinates produced before clipping and perspective divide.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
04	Geometric Projection	perspective divide	Division by w that produces normalized device coordinates.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
04	Geometric Projection	viewport transformation	Mapping normalized device coordinates to window or screen coordinates.	Belongs to the chain: view-space position -> projection matrix -> clip coordinates -> perspective divide -> NDC -> viewport coordinates	Do not confuse projection with viewport mapping; the perspective divide sits between them.
05	Clipping	clipping	Removing or cutting geometry outside a valid window, plane, or volume.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
05	Clipping	Cohen-Sutherland	Line clipping method using region/outcodes to reject, accept, or clip line segments.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
05	Clipping	Sutherland-Hodgman	Polygon clipping method that processes polygon vertices against clipping boundaries.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
05	Clipping	Cyrus-Beck	Parametric line clipping method using entering and leaving parameter intervals.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
05	Clipping	outcode	A compact code describing where a point lies relative to clipping boundaries.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
05	Clipping	intersection point	New boundary point created when a primitive crosses a clipping edge or plane.	Belongs to the chain: primitive -> boundary tests -> inside/outside classification -> intersections -> clipped primitive	Do not describe clipping as only deletion; crossing primitives can create new vertices.
06	Rasterization	scan conversion	Determining which discrete samples are covered by an ideal geometric primitive.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
06	Rasterization	triangle coverage	Testing which pixel/sample positions lie inside a triangle.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
06	Rasterization	barycentric coordinates	Weights relative to triangle vertices used for inside tests and interpolation.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
06	Rasterization	interpolation	Computing per-fragment values from vertex attributes.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
06	Rasterization	aliasing	Artifacts caused when continuous signals are sampled too coarsely.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
06	Rasterization	fragment candidate	A potential contribution to the framebuffer, not yet a guaranteed visible pixel.	Belongs to the chain: projected primitive -> sample coverage -> fragment generation -> attribute interpolation -> fragment tests	Do not call every generated fragment a final pixel.
07	Visibility Determination	depth buffer	Per-pixel storage of depth values used to keep the nearest visible fragment.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
07	Visibility Determination	z-buffer algorithm	Image-space visibility method comparing fragment depths at each pixel.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
07	Visibility Determination	Painter's algorithm	Object-order visibility method based on drawing farther objects before nearer objects.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
07	Visibility Determination	BSP tree	Space-partitioning structure that can support visibility ordering.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
07	Visibility Determination	Warnock algorithm	Image-space subdivision method for resolving visible surfaces in regions.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
07	Visibility Determination	ray casting	Finding visible surfaces by tracing rays from image samples into the scene.	Belongs to the chain: many projected or intersected candidates -> comparison rule -> visible surface or fragment -> final image contribution	Do not confuse generating a fragment with proving that it is visible.
08	Local Illumination	surface normal	Vector describing surface orientation and controlling diffuse/specular response.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
08	Local Illumination	ambient term	Approximate base illumination independent of direct light direction.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
08	Local Illumination	diffuse reflection	View-independent light response based on the angle between normal and light direction.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
08	Local Illumination	specular reflection	View-dependent highlight term based on reflection or half-vector alignment.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
08	Local Illumination	Phong model	Local illumination model combining ambient, diffuse, and specular components.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
08	Local Illumination	material coefficient	Parameter controlling how strongly a surface responds to lighting terms.	Belongs to the chain: surface point + normal + light + view + material -> lighting equation -> shaded color	Do not mix up normal, light direction, and view direction; each changes a different lighting term.
09	Texturing	texture	Sampled data array used for color, normals, material data, depth, or other shader inputs.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
09	Texturing	texel	A stored sample in texture memory.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
09	Texturing	UV coordinates	Coordinates that map surface locations to texture space.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
09	Texturing	filtering	Rule for reconstructing values between texels, such as nearest or linear filtering.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
09	Texturing	mipmap	Precomputed lower-resolution texture levels used to reduce aliasing and improve sampling.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
09	Texturing	environment mapping	Using texture lookup to approximate surrounding reflections or distant lighting.	Belongs to the chain: fragment coordinates -> texture coordinates -> sampler/filter/wrap state -> texel fetch -> shader meaning	Do not reduce texturing to pasting an image onto geometry.
10	Shadows	shadow	Reduced direct illumination where an object blocks light from reaching a receiver.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
10	Shadows	occluder	Object that blocks light.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
10	Shadows	receiver	Surface where the shadow appears.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
10	Shadows	shadow map	Depth image rendered from the light's point of view for later visibility comparison.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
10	Shadows	shadow volume	Volume of space hidden from a light by an occluder.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
10	Shadows	projective shadow	Shadow construction based on projecting geometry onto a receiver.	Belongs to the chain: light -> possible blocker -> receiver point -> light-space visibility test -> lit or shadowed result	Do not explain a shadow only from the camera view; the key test is light-space visibility.
