Front	Back	Tags
Kapitel 01 Must 3	Describe the role of OpenGL and the GPU in the course.	cs8165 chapter_01 must
Kapitel 01 Must 4	Connect later chapters to the rendering pipeline introduced here.	cs8165 chapter_01 must
Kapitel 01 Stolperfalle 1	Do not treat the introduction as only organizational; it frames the whole pipeline.	cs8165 chapter_01 pitfall
Kapitel 01 Stolperfalle 2	Separate scene representation from image generation.	cs8165 chapter_01 pitfall
Kapitel 01 Stolperfalle 3	Remember that interactivity implies performance constraints, not just image quality.	cs8165 chapter_01 pitfall
Kapitel 02 Must 1	Reproduce the pipeline order from vertices to pixels.	cs8165 chapter_02 must
Kapitel 02 Must 2	Explain vertex processing, primitive assembly, rasterization, fragment processing, tests, and framebuffer operations.	cs8165 chapter_02 must
Kapitel 02 Must 3	Differentiate vertex shader and fragment shader responsibilities.	cs8165 chapter_02 must
Kapitel 02 Must 4	Explain how fragments differ from final pixels.	cs8165 chapter_02 must
Kapitel 02 Must 5	Describe depth test, blending, and framebuffer purpose.	cs8165 chapter_02 must
Kapitel 02 Stolperfalle 1	Fragments are pixel candidates, not guaranteed final pixels.	cs8165 chapter_02 pitfall
Kapitel 02 Stolperfalle 2	Rasterization and fragment shading are separate stages.	cs8165 chapter_02 pitfall
Kapitel 02 Stolperfalle 3	OpenGL state influences rendering; do not describe it as purely functional code.	cs8165 chapter_02 pitfall
Kapitel 03 Must 1	Use homogeneous coordinates to represent translation, rotation, scaling, and affine transforms.	cs8165 chapter_03 must
Kapitel 03 Must 2	Explain why transformation order matters.	cs8165 chapter_03 must
Kapitel 03 Must 3	Compose model, world, view, and related coordinate transformations.	cs8165 chapter_03 must
Kapitel 03 Must 4	Distinguish transforming points from transforming directions/normals.	cs8165 chapter_03 must
Kapitel 03 Stolperfalle 1	Matrix multiplication is not commutative.	cs8165 chapter_03 pitfall
Kapitel 03 Stolperfalle 2	Normals usually require special handling under non-uniform scaling.	cs8165 chapter_03 pitfall
Kapitel 03 Stolperfalle 3	Changing coordinates and moving objects can look algebraically similar but mean different things.	cs8165 chapter_03 pitfall
Kapitel 04 Must 1	Explain perspective shortening and loss of depth in projection.	cs8165 chapter_04 must
Kapitel 04 Must 2	Distinguish orthographic and perspective projection qualitatively and mathematically.	cs8165 chapter_04 must
Kapitel 04 Must 3	Describe camera modeling and canonical view volume.	cs8165 chapter_04 must
Kapitel 04 Must 4	Explain the role of projection matrices and homogeneous divide.	cs8165 chapter_04 must
Kapitel 04 Stolperfalle 1	Do not confuse view transformation with projection transformation.	cs8165 chapter_04 pitfall
Kapitel 04 Stolperfalle 2	Perspective projection is not just scaling; the homogeneous divide is essential.	cs8165 chapter_04 pitfall
Kapitel 04 Stolperfalle 3	Depth is transformed for later visibility tests, even though the image is 2D.	cs8165 chapter_04 pitfall
Kapitel 05 Must 1	Explain why clipping is needed before costly later stages.	cs8165 chapter_05 must
Kapitel 05 Must 2	Distinguish analytical clipping from pixel-based clipping.	cs8165 chapter_05 must
Kapitel 05 Must 3	Describe clipping against a view volume and how primitives are modified or rejected.	cs8165 chapter_05 must
Kapitel 05 Must 4	Explain how clipping interacts with rasterization and visibility.	cs8165 chapter_05 must
Kapitel 05 Stolperfalle 1	Clipping is not the same as culling.	cs8165 chapter_05 pitfall
Kapitel 05 Stolperfalle 2	Clipping can create new vertices where primitives intersect clipping boundaries.	cs8165 chapter_05 pitfall
Kapitel 05 Stolperfalle 3	Pixel-based clipping happens later and has different cost behavior.	cs8165 chapter_05 pitfall
Kapitel 06 Must 1	Explain how continuous primitives become discrete fragments.	cs8165 chapter_06 must
Kapitel 06 Must 2	Describe triangle rasterization and inside/outside tests.	cs8165 chapter_06 must
Kapitel 06 Must 3	Use interpolation across a primitive for depth and attributes.	cs8165 chapter_06 must
Kapitel 06 Must 4	Explain why sampling causes artifacts and why pixel centers matter.	cs8165 chapter_06 must
Kapitel 06 Stolperfalle 1	A pixel is not a little square; be precise about samples and raster representation.	cs8165 chapter_06 pitfall
Kapitel 06 Stolperfalle 2	Attribute interpolation must be distinguished from geometric transformation.	cs8165 chapter_06 pitfall
Kapitel 06 Stolperfalle 3	Rasterization produces fragments before final visibility tests.	cs8165 chapter_06 pitfall
Kapitel 07 Must 1	Define visibility determination / hidden surface removal.	cs8165 chapter_07 must
Kapitel 07 Must 2	Explain z-buffering and depth comparison.	cs8165 chapter_07 must
Kapitel 07 Must 3	Distinguish object-space and image-space approaches at a high level.	cs8165 chapter_07 must
Kapitel 07 Must 4	Explain culling and why back-facing geometry can be rejected.	cs8165 chapter_07 must
Kapitel 07 Stolperfalle 1	Culling removes geometry based on orientation or volume tests; depth testing resolves occlusion per fragment.	cs8165 chapter_07 pitfall
Kapitel 07 Stolperfalle 2	Depth precision can produce artifacts.	cs8165 chapter_07 pitfall
Kapitel 07 Stolperfalle 3	Visibility is tied to the current camera/viewpoint.	cs8165 chapter_07 pitfall
Kapitel 08 Must 1	Explain local versus global illumination.	cs8165 chapter_08 must
Kapitel 08 Must 2	Decompose common local illumination into ambient, diffuse, and specular components.	cs8165 chapter_08 must
Kapitel 08 Must 3	Explain normals, light direction, view direction, and material coefficients.	cs8165 chapter_08 must
Kapitel 08 Must 4	Compare Phong and Blinn-Phong style specular terms.	cs8165 chapter_08 must
Kapitel 08 Stolperfalle 1	Local illumination ignores indirect light effects unless explicitly approximated.	cs8165 chapter_08 pitfall
Kapitel 08 Stolperfalle 2	Normals must be normalized and in the correct coordinate system.	cs8165 chapter_08 pitfall
Kapitel 08 Stolperfalle 3	Diffuse and specular terms model different visual phenomena.	cs8165 chapter_08 pitfall
Kapitel 09 Must 1	Explain textures as sampled data fields used during rendering.	cs8165 chapter_09 must
Kapitel 09 Must 2	Map texture coordinates to texture lookups and fragment shading.	cs8165 chapter_09 must
Kapitel 09 Must 3	Describe nearest and linear filtering qualitatively.	cs8165 chapter_09 must
Kapitel 09 Must 4	Explain aliasing and why mipmaps help.	cs8165 chapter_09 must
Kapitel 09 Must 5	Distinguish color textures from other texture uses such as normal maps.	cs8165 chapter_09 must
Kapitel 09 Stolperfalle 1	A texture is not only an image; it is sampled data for shading.	cs8165 chapter_09 pitfall
Kapitel 09 Stolperfalle 2	Texture coordinates live in their own domain and must be interpolated.	cs8165 chapter_09 pitfall
Kapitel 09 Stolperfalle 3	Filtering and mipmapping are about sampling quality, not geometry quality.	cs8165 chapter_09 pitfall
Kapitel 10 Must 1	Explain shadows as a visibility problem from the light source.	cs8165 chapter_10 must
Kapitel 10 Must 2	Describe the two-pass idea of shadow mapping.	cs8165 chapter_10 must
Kapitel 10 Must 3	Explain how a depth map from the light is compared during camera rendering.	cs8165 chapter_10 must
Kapitel 10 Must 4	Name typical shadow-map artifacts and their causes.	cs8165 chapter_10 must
Kapitel 10 Stolperfalle 1	Shadow mapping stores depth from the light, not colors.	cs8165 chapter_10 pitfall
Kapitel 10 Stolperfalle 2	Bias is needed to reduce self-shadowing but can cause detached shadows.	cs8165 chapter_10 pitfall
Kapitel 10 Stolperfalle 3	Shadow quality depends on resolution, projection, and sampling.	cs8165 chapter_10 pitfall
